measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,897.7286403300001,922.376463162,875.00961958
1,Deaths,1,Global,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,626.2560974749999,646.220165908,608.194563901
1,Deaths,10,Cambodia,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,1078.73253829,1195.08161381,977.678306909
1,Deaths,10,Cambodia,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,906.712293337,1005.78758648,767.680308047
1,Deaths,41,Uzbekistan,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,970.3320435150001,1039.52630737,902.396795516
1,Deaths,41,Uzbekistan,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,679.942113482,733.379105793,635.112516663
1,Deaths,10,Cambodia,1,Male,27,Age-standardized,409,Non-communicable diseases,169,All risk factors,3,Rate,1990,620.81963219,718.866446187,546.441714777
1,Deaths,10,Cambodia,2,Female,27,Age-standardized,409,Non-communicable diseases,169,All risk factors,3,Rate,1990,560.472799722,639.271909895,455.555151755
1,Deaths,18,Thailand,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,722.412586173,766.639458718,680.542465841
1,Deaths,18,Thailand,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,459.8851246,489.56652953299994,432.170986474
1,Deaths,49,Macedonia,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,895.1346312109999,967.7209101220001,828.8011868960001
1,Deaths,49,Macedonia,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,660.5188992550001,722.106492073,604.058679406
1,Deaths,167,Central Sub-Saharan Africa,1,Male,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,1127.09639846,1244.9105880299999,969.2816105599999
1,Deaths,167,Central Sub-Saharan Africa,2,Female,27,Age-standardized,294,All causes,169,All risk factors,3,Rate,1990,1008.9359845700001,1104.30492037,920.1451431419999
1,Deaths,37,Kyrgyzstan,1,Male,27,Age-standardized,409,Non-communicable diseases,169,All risk factors,3,Rate,1990,958.860743374,1012.01180618,900.764083686
1,Deaths,37,Kyrgyzstan,2,Female,27,Age-standardized,409,Non-communicable diseases,169,All risk factors,3,Rate,1990,577.365186399,612.39795256,542.118579134
